reaction_ID,lower_flux_bound,upper_flux_bound
HMR_4784,0,1000
HMR_4786,0,1000
HMR_4787,0,1000
HMR_8098,0,1000
HMR_8427,-1000,1000
HMR_8603,0,1000
HMR_8604,0,1000
HMR_8605,0,1000
HMR_8609,0,1000
HMR_8610,0,1000
HMR_0460,0,1000
HMR_3839,-1000,1000
HMR_3841,-1000,1000
HMR_3843,0,1000
HMR_4467,0,1000
HMR_4584,-1000,1000
HMR_4742,0,1000
HMR_4792,-1000,1000
HMR_8091,0,1000
HMR_8092,0,1000
HMR_8566,0,1000
HMR_4683,0,1000
HMR_4685,0,1000
HMR_4686,-1000,1000
HMR_4687,-1000,1000
HMR_8530,-1000,1000
HMR_4220,-1000,1000
HMR_4224,0,1000
HMR_4225,0,1000
HMR_6716,0,1000
HMR_6717,0,1000
HMR_6718,0,1000
HMR_6719,0,1000
HMR_6720,0,1000
HMR_6721,0,1000
HMR_6725,-1000,1000
HMR_6730,0,1000
HMR_6734,-1000,1000
HMR_6736,0,1000
HMR_6742,-1000,1000
HMR_6746,0,1000
HMR_6748,0,1000
HMR_6749,0,1000
HMR_6750,0,1000
HMR_6751,0,1000
HMR_6753,0,1000
HMR_6754,0,1000
HMR_6755,-1000,1000
HMR_6756,-1000,1000
HMR_6758,0,1000
HMR_6760,0,1000
HMR_6761,0,1000
HMR_6762,0,1000
HMR_6763,0,1000
HMR_6764,0,1000
HMR_6765,-1000,1000
HMR_6766,0,1000
HMR_6767,0,1000
HMR_6768,0,1000
HMR_6807,-1000,1000
HMR_6808,0,1000
HMR_6817,-1000,1000
HMR_6841,-1000,1000
HMR_6849,-1000,1000
HMR_6876,-1000,1000
HMR_6877,-1000,1000
HMR_3875,0,1000
HMR_3877,0,1000
HMR_3912,-1000,1000
HMR_3920,-1000,1000
HMR_3995,-1000,1000
HMR_3996,-1000,1000
HMR_6519,-1000,1000
HMR_8066,-1000,1000
HMR_8067,-1000,1000
HMR_8068,-1000,1000
HMR_8069,-1000,1000
HMR_8682,-1000,1000
HMR_8685,0,1000
HMR_3937,0,1000
HMR_4116,0,1000
HMR_4120,0,1000
HMR_4121,0,1000
HMR_4175,0,1000
HMR_4324,0,1000
HMR_4326,0,1000
HMR_4328,0,1000
HMR_4329,0,1000
HMR_4708,0,1000
HMR_8770,0,1000
HMR_8771,0,1000
HMR_4078,0,1000
HMR_4079,0,1000
HMR_4427,0,1000
HMR_7993,0,1000
HMR_7137,-1000,1000
HMR_3767,0,1000
HMR_3988,0,1000
HMR_8366,0,1000
HMR_8368,0,1000
HMR_5130,0,1000
HMR_5131,0,1000
HMR_5132,0,1000
HMR_5133,0,1000
HMR_5134,0,1000
HMR_5136,0,1000
HMR_5137,0,1000
HMR_5138,0,1000
HMR_5139,0,1000
HMR_5141,0,1000
HMR_5142,0,1000
HMR_5143,0,1000
HMR_5145,0,1000
HMR_5146,0,1000
HMR_5147,0,1000
HMR_5148,0,1000
HMR_5149,0,1000
HMR_5150,0,1000
HMR_7436,0,1000
HMR_8261,0,1000
HMR_1532,-1000,1000
HMR_5166,0,1000
HMR_7617,0,1000
HMR_7618,0,1000
HMR_5270,0,1000
HMR_0710,0,1000
HMR_3958,0,1000
HMR_4111,0,1000
HMR_4112,0,1000
HMR_4113,0,1000
HMR_4139,-1000,1000
HMR_4141,-1000,1000
HMR_4145,-1000,1000
HMR_4149,0,1000
HMR_4585,-1000,1000
HMR_4586,-1000,1000
HMR_4587,-1000,1000
HMR_4588,-1000,1000
HMR_8772,0,1000
HMR_8773,-1000,1000
HMR_8775,0,1000
HMR_8777,0,1000
HMR_8778,0,1000
HMR_8780,0,1000
HMR_3975,0,1000
HMR_3977,0,1000
HMR_3979,0,1000
HMR_6911,-1000,1000
HMR_6912,0,1000
HMR_6921,0,1000
HMR_3960,0,1000
HMR_4767,0,1000
HMR_8410,0,1000
HMR_8413,0,1000
HMR_8415,0,1000
HMR_0168,-1000,1000
HMR_0192,-1000,1000
HMR_0213,-1000,1000
HMR_0237,-1000,1000
HMR_0349,-1000,1000
HMR_0353,-1000,1000
HMR_0361,-1000,1000
HMR_0377,-1000,1000
HMR_0401,-1000,1000
HMR_2952,-1000,1000
HMR_2982,-1000,1000
HMR_2305,0,1000
HMR_2307,0,1000
HMR_2309,0,1000
HMR_2311,0,1000
HMR_2315,0,1000
HMR_2317,0,1000
HMR_2319,0,1000
HMR_2321,0,1000
HMR_2324,0,1000
HMR_2326,0,1000
HMR_2328,0,1000
HMR_2330,0,1000
HMR_2332,0,1000
HMR_2334,0,1000
HMR_2336,0,1000
HMR_2338,0,1000
HMR_2342,0,1000
HMR_2343,0,1000
HMR_2344,0,1000
HMR_2345,0,1000
HMR_2347,0,1000
HMR_2348,0,1000
HMR_2349,0,1000
HMR_2350,0,1000
HMR_2353,0,1000
HMR_2354,0,1000
HMR_2355,0,1000
HMR_2356,0,1000
HMR_2361,0,1000
HMR_2362,0,1000
HMR_2363,0,1000
HMR_2364,0,1000
HMR_2190,0,1000
HMR_2191,0,1000
HMR_2193,0,1000
HMR_2194,0,1000
HMR_2201,0,1000
HMR_2202,0,1000
HMR_2203,0,1000
HMR_2204,0,1000
HMR_2205,0,1000
HMR_2208,0,1000
HMR_2209,0,1000
HMR_2210,0,1000
HMR_2211,0,1000
HMR_2212,0,1000
HMR_2213,0,1000
HMR_2214,0,1000
HMR_2215,0,1000
HMR_2217,0,1000
HMR_2218,0,1000
HMR_2219,0,1000
HMR_2259,0,1000
HMR_2260,0,1000
HMR_2261,0,1000
HMR_2262,0,1000
HMR_2263,0,1000
HMR_2264,0,1000
HMR_2265,0,1000
HMR_2266,0,1000
HMR_2267,0,1000
HMR_2268,0,1000
HMR_2269,0,1000
HMR_2270,0,1000
HMR_2281,0,1000
HMR_2282,0,1000
HMR_2284,0,1000
HMR_2286,0,1000
HMR_2287,0,1000
HMR_2292,0,1000
HMR_2293,0,1000
HMR_2294,0,1000
HMR_2295,0,1000
HMR_2296,0,1000
HMR_2365,0,1000
HMR_2288,0,1000
HMR_2289,0,1000
HMR_2443,-1000,1000
HMR_2445,-1000,1000
HMR_2446,-1000,1000
HMR_2447,-1000,1000
HMR_2449,0,1000
HMR_2450,0,1000
HMR_2452,-1000,1000
HMR_2454,-1000,1000
HMR_2455,0,1000
HMR_2457,0,1000
HMR_2475,0,1000
HMR_2478,0,1000
HMR_2480,0,1000
HMR_2482,0,1000
HMR_2486,0,1000
HMR_2489,0,1000
HMR_2491,0,1000
HMR_2493,0,1000
HMR_2497,0,1000
HMR_2499,0,1000
HMR_2501,0,1000
HMR_2503,0,1000
HMR_2505,0,1000
HMR_2515,0,1000
HMR_2516,0,1000
HMR_2518,0,1000
HMR_2520,0,1000
HMR_2526,0,1000
HMR_2528,0,1000
HMR_2530,0,1000
HMR_2533,0,1000
HMR_2535,0,1000
HMR_2537,0,1000
HMR_2540,0,1000
HMR_2541,0,1000
HMR_2542,0,1000
HMR_2543,0,1000
HMR_2557,0,1000
HMR_2560,-1000,1000
HMR_2570,0,1000
HMR_2571,-1000,1000
HMR_2581,0,1000
HMR_2582,0,1000
HMR_2583,-1000,1000
HMR_2584,-1000,1000
HMR_2371,0,1000
HMR_2374,0,1000
HMR_2376,0,1000
HMR_2378,0,1000
HMR_2383,0,1000
HMR_2387,0,1000
HMR_2389,0,1000
HMR_2391,0,1000
HMR_2393,0,1000
HMR_2395,0,1000
HMR_2397,0,1000
HMR_2399,0,1000
HMR_2401,0,1000
HMR_2403,0,1000
HMR_2415,0,1000
HMR_2417,0,1000
HMR_2419,0,1000
HMR_2421,0,1000
HMR_2423,0,1000
HMR_2426,0,1000
HMR_2428,0,1000
HMR_2430,0,1000
HMR_2433,0,1000
HMR_2434,0,1000
HMR_2435,0,1000
HMR_2436,0,1000
HMR_0934,0,1000
HMR_0942,0,1000
HMR_0943,0,1000
HMR_0946,0,1000
HMR_0947,0,1000
HMR_0950,0,1000
HMR_0951,0,1000
HMR_0954,0,1000
HMR_0955,0,1000
HMR_0960,0,1000
HMR_0963,0,1000
HMR_0964,0,1000
HMR_0973,-1000,1000
HMR_0979,-1000,1000
HMR_1045,-1000,1000
HMR_1080,0,1000
HMR_1101,0,1000
HMR_1102,0,1000
HMR_1105,0,1000
HMR_1106,0,1000
HMR_1129,-1000,1000
HMR_1132,-1000,1000
HMR_1134,-1000,1000
HMR_1136,-1000,1000
HMR_1140,0,1000
HMR_1142,-1000,1000
HMR_1146,-1000,1000
HMR_1150,-1000,1000
