reaction_ID,lower_flux_bound,upper_flux_bound
HMR_0307,0,1000
HMR_0308,0,1000
HMR_0312,0,1000
HMR_0318,0,1000
HMR_0322,0,1000
HMR_0325,0,1000
HMR_0326,0,1000
HMR_0329,0,1000
HMR_0330,0,1000
HMR_0336,0,1000
HMR_0340,0,1000
HMR_0343,0,1000
HMR_0344,0,1000
HMR_0347,0,1000
HMR_0348,0,1000
HMR_0352,0,1000
HMR_0356,0,1000
HMR_0360,0,1000
HMR_0364,0,1000
HMR_0368,0,1000
HMR_0372,0,1000
HMR_0375,0,1000
HMR_0376,0,1000
HMR_0380,0,1000
HMR_0384,0,1000
