pair,MEM1,MEM2,infection1,infection2,dataset1,dataset2,Jaccard
"('Gimme_model_H_A549_alt', 'IMAT_model_I_NHBE_alt')",GIMME,iMAT,healthy,infected,A549,HBE,0.3105797660367656
"('Gimme_model_H_A549_alt', 'INIT_model_H_293T_alt')",GIMME,INIT,healthy,healthy,A549,293T,0.22525433871932973
"('Gimme_model_H_A549_alt', 'INIT_model_H_A549_alt')",GIMME,INIT,healthy,healthy,A549,A549,0.30092864699659105
"('Gimme_model_H_A549_alt', 'INIT_model_H_CALU_alt')",GIMME,INIT,healthy,healthy,A549,Calu-3,0.26262390670553937
"('Gimme_model_H_A549_alt', 'INIT_model_H_Lung_alt')",GIMME,INIT,healthy,healthy,A549,Lung,0.22263041880969875
"('Gimme_model_H_A549_alt', 'INIT_model_H_NHBE')",GIMME,INIT,healthy,healthy,A549,HBE,0.26154031577678677
"('Gimme_model_H_A549_alt', 'INIT_model_I_293T_alt')",GIMME,INIT,healthy,infected,A549,293T,0.2053954629061925
"('Gimme_model_H_A549_alt', 'INIT_model_I_A549_alt')",GIMME,INIT,healthy,infected,A549,A549,0.29845827939272684
"('Gimme_model_H_A549_alt', 'INIT_model_I_CALU_alt')",GIMME,INIT,healthy,infected,A549,Calu-3,0.25551277563878194
"('Gimme_model_H_A549_alt', 'INIT_model_I_Lung_alt')",GIMME,INIT,healthy,infected,A549,Lung,0.22660275614140205
"('Gimme_model_H_A549_alt', 'INIT_model_I_NHBE')",GIMME,INIT,healthy,infected,A549,HBE,0.25590598393092695
"('Gimme_model_H_A549_alt', 'tINIT_model_H_293T_alt')",GIMME,tINIT,healthy,healthy,A549,293T,0.24253511153074472
"('Gimme_model_H_A549_alt', 'tINIT_model_H_A549_alt')",GIMME,tINIT,healthy,healthy,A549,A549,0.3106549815498155
"('Gimme_model_H_A549_alt', 'tINIT_model_H_CALU_alt')",GIMME,tINIT,healthy,healthy,A549,Calu-3,0.2767599953911741
"('Gimme_model_H_A549_alt', 'tINIT_model_H_Lung_alt')",GIMME,tINIT,healthy,healthy,A549,Lung,0.2435636450724464
"('Gimme_model_H_A549_alt', 'tINIT_model_H_NHBE')",GIMME,tINIT,healthy,healthy,A549,HBE,0.27927821677084563
"('Gimme_model_H_A549_alt', 'tINIT_model_I_293T_alt')",GIMME,tINIT,healthy,infected,A549,293T,0.2106922051157716
"('Gimme_model_H_A549_alt', 'tINIT_model_I_A549_alt')",GIMME,tINIT,healthy,infected,A549,A549,0.30196809130080354
"('Gimme_model_H_A549_alt', 'tINIT_model_I_CALU_alt')",GIMME,tINIT,healthy,infected,A549,Calu-3,0.26348619614185054
"('Gimme_model_H_A549_alt', 'tINIT_model_I_Lung_alt')",GIMME,tINIT,healthy,infected,A549,Lung,0.23232799245994346
"('Gimme_model_H_A549_alt', 'tINIT_model_I_NHBE')",GIMME,tINIT,healthy,infected,A549,HBE,0.25949964597592634
"('Gimme_model_H_293T_alt', 'Gimme_model_H_CALU_alt')",GIMME,GIMME,healthy,healthy,Calu-3,293T,0.8389201637666326
"('Gimme_model_H_A549_alt', 'Gimme_model_H_CALU_alt')",GIMME,GIMME,healthy,healthy,Calu-3,A549,0.9037778070290904
"('Gimme_model_H_CALU_alt', 'Gimme_model_H_Lung_alt')",GIMME,GIMME,healthy,healthy,Calu-3,Lung,0.8249273163948931
"('Gimme_model_H_CALU_alt', 'Gimme_model_H_NHBE_alt')",GIMME,GIMME,healthy,healthy,Calu-3,HBE,0.8658914728682171
"('Gimme_model_H_CALU_alt', 'Gimme_model_I_293T_alt')",GIMME,GIMME,healthy,infected,Calu-3,293T,0.8208477397874248
"('Gimme_model_H_CALU_alt', 'Gimme_model_I_A549_alt')",GIMME,GIMME,healthy,infected,Calu-3,A549,0.8840331709885481
"('Gimme_model_H_CALU_alt', 'Gimme_model_I_CALU_alt')",GIMME,GIMME,healthy,infected,Calu-3,Calu-3,0.9014569536423841
"('Gimme_model_H_CALU_alt', 'Gimme_model_I_Lung_alt')",GIMME,GIMME,healthy,infected,Calu-3,Lung,0.7735334242837654
"('Gimme_model_H_CALU_alt', 'Gimme_model_I_NHBE_alt')",GIMME,GIMME,healthy,infected,Calu-3,HBE,0.8558827344662083
"('Gimme_model_H_CALU_alt', 'IMAT_model_H_293T_alt')",GIMME,iMAT,healthy,healthy,Calu-3,293T,0.2930581613508443
"('Gimme_model_H_CALU_alt', 'IMAT_model_H_A549_alt')",GIMME,iMAT,healthy,healthy,Calu-3,A549,0.3415653991898602
"('Gimme_model_H_CALU_alt', 'IMAT_model_H_CALU_alt')",GIMME,iMAT,healthy,healthy,Calu-3,Calu-3,0.3615445649299127
"('Gimme_model_H_CALU_alt', 'IMAT_model_H_Lung_alt')",GIMME,iMAT,healthy,healthy,Calu-3,Lung,0.30560509554140125
"('Gimme_model_H_CALU_alt', 'IMAT_model_H_NHBE_alt')",GIMME,iMAT,healthy,healthy,Calu-3,HBE,0.3219072164948454
"('Gimme_model_H_CALU_alt', 'iMAT_model_I_293T_alt')",GIMME,iMAT,healthy,infected,Calu-3,293T,0.28359148721823446
"('Gimme_model_H_CALU_alt', 'iMAT_model_I_A549_alt')",GIMME,iMAT,healthy,infected,Calu-3,A549,0.33965224212315337
"('Gimme_model_H_CALU_alt', 'iMAT_model_I_CALU_alt')",GIMME,iMAT,healthy,infected,Calu-3,Calu-3,0.33149823043649235
"('Gimme_model_H_CALU_alt', 'iMAT_model_I_Lung_alt')",GIMME,iMAT,healthy,infected,Calu-3,Lung,0.2911174079093261
"('Gimme_model_H_CALU_alt', 'IMAT_model_I_NHBE_alt')",GIMME,iMAT,healthy,infected,Calu-3,HBE,0.31740085260302286
"('Gimme_model_H_CALU_alt', 'INIT_model_H_293T_alt')",GIMME,INIT,healthy,healthy,Calu-3,293T,0.2338836004337872
"('Gimme_model_H_CALU_alt', 'INIT_model_H_A549_alt')",GIMME,INIT,healthy,healthy,Calu-3,A549,0.29111266620014
"('Gimme_model_H_CALU_alt', 'INIT_model_H_CALU_alt')",GIMME,INIT,healthy,healthy,Calu-3,Calu-3,0.28120194013959543
"('Gimme_model_H_CALU_alt', 'INIT_model_H_Lung_alt')",GIMME,INIT,healthy,healthy,Calu-3,Lung,0.22299779573842762
"('Gimme_model_H_CALU_alt', 'INIT_model_H_NHBE')",GIMME,INIT,healthy,healthy,Calu-3,HBE,0.2647982604493839
"('Gimme_model_H_CALU_alt', 'INIT_model_I_293T_alt')",GIMME,INIT,healthy,infected,Calu-3,293T,0.2100664533595865
"('Gimme_model_H_CALU_alt', 'INIT_model_I_A549_alt')",GIMME,INIT,healthy,infected,Calu-3,A549,0.2880485527544351
"('Gimme_model_H_CALU_alt', 'INIT_model_I_CALU_alt')",GIMME,INIT,healthy,infected,Calu-3,Calu-3,0.2684421399952864
"('Gimme_model_H_CALU_alt', 'INIT_model_I_Lung_alt')",GIMME,INIT,healthy,infected,Calu-3,Lung,0.21588884930530816
"('Gimme_model_H_CALU_alt', 'INIT_model_I_NHBE')",GIMME,INIT,healthy,infected,Calu-3,HBE,0.2564164068121852
"('Gimme_model_H_CALU_alt', 'tINIT_model_H_293T_alt')",GIMME,tINIT,healthy,healthy,Calu-3,293T,0.25041557824744715
"('Gimme_model_H_CALU_alt', 'tINIT_model_H_A549_alt')",GIMME,tINIT,healthy,healthy,Calu-3,A549,0.3012475678150395
"('Gimme_model_H_CALU_alt', 'tINIT_model_H_CALU_alt')",GIMME,tINIT,healthy,healthy,Calu-3,Calu-3,0.2941039112667834
"('Gimme_model_H_CALU_alt', 'tINIT_model_H_Lung_alt')",GIMME,tINIT,healthy,healthy,Calu-3,Lung,0.24436990896023
"('Gimme_model_H_CALU_alt', 'tINIT_model_H_NHBE')",GIMME,tINIT,healthy,healthy,Calu-3,HBE,0.2838717311560762
"('Gimme_model_H_CALU_alt', 'tINIT_model_I_293T_alt')",GIMME,tINIT,healthy,infected,Calu-3,293T,0.2157721796276013
"('Gimme_model_H_CALU_alt', 'tINIT_model_I_A549_alt')",GIMME,tINIT,healthy,infected,Calu-3,A549,0.291786993184706
"('Gimme_model_H_CALU_alt', 'tINIT_model_I_CALU_alt')",GIMME,tINIT,healthy,infected,Calu-3,Calu-3,0.2750262207201958
"('Gimme_model_H_CALU_alt', 'tINIT_model_I_Lung_alt')",GIMME,tINIT,healthy,infected,Calu-3,Lung,0.22202756365335202
"('Gimme_model_H_CALU_alt', 'tINIT_model_I_NHBE')",GIMME,tINIT,healthy,infected,Calu-3,HBE,0.26044864226682407
"('Gimme_model_H_293T_alt', 'Gimme_model_H_Lung_alt')",GIMME,GIMME,healthy,healthy,Lung,293T,0.8448874598070739
"('Gimme_model_H_A549_alt', 'Gimme_model_H_Lung_alt')",GIMME,GIMME,healthy,healthy,Lung,A549,0.8307965499746321
"('Gimme_model_H_CALU_alt', 'Gimme_model_H_Lung_alt')",GIMME,GIMME,healthy,healthy,Lung,Calu-3,0.8249273163948931
"('Gimme_model_H_Lung_alt', 'Gimme_model_H_NHBE_alt')",GIMME,GIMME,healthy,healthy,Lung,HBE,0.8759599114929064
"('Gimme_model_H_Lung_alt', 'Gimme_model_I_293T_alt')",GIMME,GIMME,healthy,infected,Lung,293T,0.8283726323927328
"('Gimme_model_H_Lung_alt', 'Gimme_model_I_A549_alt')",GIMME,GIMME,healthy,infected,Lung,A549,0.8124603476716152
"('Gimme_model_H_Lung_alt', 'Gimme_model_I_CALU_alt')",GIMME,GIMME,healthy,infected,Lung,Calu-3,0.8232374650038178
"('Gimme_model_H_Lung_alt', 'Gimme_model_I_Lung_alt')",GIMME,GIMME,healthy,infected,Lung,Lung,0.835026359778835
"('Gimme_model_H_Lung_alt', 'Gimme_model_I_NHBE_alt')",GIMME,GIMME,healthy,infected,Lung,HBE,0.8540449292299701
"('Gimme_model_H_Lung_alt', 'IMAT_model_H_293T_alt')",GIMME,iMAT,healthy,healthy,Lung,293T,0.2957516339869281
"('Gimme_model_H_Lung_alt', 'IMAT_model_H_A549_alt')",GIMME,iMAT,healthy,healthy,Lung,A549,0.2856963455983926
"('Gimme_model_H_Lung_alt', 'IMAT_model_H_CALU_alt')",GIMME,iMAT,healthy,healthy,Lung,Calu-3,0.2735053336641032
"('Gimme_model_H_Lung_alt', 'IMAT_model_H_Lung_alt')",GIMME,iMAT,healthy,healthy,Lung,Lung,0.36942248425566127
"('Gimme_model_H_Lung_alt', 'IMAT_model_H_NHBE_alt')",GIMME,iMAT,healthy,healthy,Lung,HBE,0.31040225467589033
"('Gimme_model_H_Lung_alt', 'iMAT_model_I_293T_alt')",GIMME,iMAT,healthy,infected,Lung,293T,0.26104218362282877
"('Gimme_model_H_Lung_alt', 'iMAT_model_I_A549_alt')",GIMME,iMAT,healthy,infected,Lung,A549,0.28302360622802614
"('Gimme_model_H_Lung_alt', 'iMAT_model_I_CALU_alt')",GIMME,iMAT,healthy,infected,Lung,Calu-3,0.28426524660834285
"('Gimme_model_H_Lung_alt', 'iMAT_model_I_Lung_alt')",GIMME,iMAT,healthy,infected,Lung,Lung,0.31923756627114364
"('Gimme_model_H_Lung_alt', 'IMAT_model_I_NHBE_alt')",GIMME,iMAT,healthy,infected,Lung,HBE,0.3007162957278076
"('Gimme_model_H_Lung_alt', 'INIT_model_H_293T_alt')",GIMME,INIT,healthy,healthy,Lung,293T,0.19524757111085098
"('Gimme_model_H_Lung_alt', 'INIT_model_H_A549_alt')",GIMME,INIT,healthy,healthy,Lung,A549,0.2580902461257976
"('Gimme_model_H_Lung_alt', 'INIT_model_H_CALU_alt')",GIMME,INIT,healthy,healthy,Lung,Calu-3,0.23425894183521884
"('Gimme_model_H_Lung_alt', 'INIT_model_H_Lung_alt')",GIMME,INIT,healthy,healthy,Lung,Lung,0.2895622895622896
"('Gimme_model_H_Lung_alt', 'INIT_model_H_NHBE')",GIMME,INIT,healthy,healthy,Lung,HBE,0.24105550933079758
"('Gimme_model_H_Lung_alt', 'INIT_model_I_293T_alt')",GIMME,INIT,healthy,infected,Lung,293T,0.19575557994877424
"('Gimme_model_H_Lung_alt', 'INIT_model_I_A549_alt')",GIMME,INIT,healthy,infected,Lung,A549,0.2563634288323251
"('Gimme_model_H_Lung_alt', 'INIT_model_I_CALU_alt')",GIMME,INIT,healthy,infected,Lung,Calu-3,0.23975054856218964
"('Gimme_model_H_Lung_alt', 'INIT_model_I_Lung_alt')",GIMME,INIT,healthy,infected,Lung,Lung,0.2620519159456119
"('Gimme_model_H_Lung_alt', 'INIT_model_I_NHBE')",GIMME,INIT,healthy,infected,Lung,HBE,0.23926453143534995
"('Gimme_model_H_Lung_alt', 'tINIT_model_H_293T_alt')",GIMME,tINIT,healthy,healthy,Lung,293T,0.21200230813618004
"('Gimme_model_H_Lung_alt', 'tINIT_model_H_A549_alt')",GIMME,tINIT,healthy,healthy,Lung,A549,0.26930826057756885
"('Gimme_model_H_Lung_alt', 'tINIT_model_H_CALU_alt')",GIMME,tINIT,healthy,healthy,Lung,Calu-3,0.248729244323958
"('Gimme_model_H_Lung_alt', 'tINIT_model_H_Lung_alt')",GIMME,tINIT,healthy,healthy,Lung,Lung,0.3021998742928976
"('Gimme_model_H_Lung_alt', 'tINIT_model_H_NHBE')",GIMME,tINIT,healthy,healthy,Lung,HBE,0.259720605355064
"('Gimme_model_H_Lung_alt', 'tINIT_model_I_293T_alt')",GIMME,tINIT,healthy,infected,Lung,293T,0.20156815440289505
"('Gimme_model_H_Lung_alt', 'tINIT_model_I_A549_alt')",GIMME,tINIT,healthy,infected,Lung,A549,0.26090888537191953
"('Gimme_model_H_Lung_alt', 'tINIT_model_I_CALU_alt')",GIMME,tINIT,healthy,infected,Lung,Calu-3,0.24765607134690143
"('Gimme_model_H_Lung_alt', 'tINIT_model_I_Lung_alt')",GIMME,tINIT,healthy,infected,Lung,Lung,0.26733875865419654
"('Gimme_model_H_Lung_alt', 'tINIT_model_I_NHBE')",GIMME,tINIT,healthy,infected,Lung,HBE,0.24424447820497838
"('Gimme_model_H_293T_alt', 'Gimme_model_H_NHBE_alt')",GIMME,GIMME,healthy,healthy,HBE,293T,0.8778955634079308
"('Gimme_model_H_A549_alt', 'Gimme_model_H_NHBE_alt')",GIMME,GIMME,healthy,healthy,HBE,A549,0.8575839444230027
"('Gimme_model_H_CALU_alt', 'Gimme_model_H_NHBE_alt')",GIMME,GIMME,healthy,healthy,HBE,Calu-3,0.8658914728682171
"('Gimme_model_H_Lung_alt', 'Gimme_model_H_NHBE_alt')",GIMME,GIMME,healthy,healthy,HBE,Lung,0.8759599114929064
"('Gimme_model_H_NHBE_alt', 'Gimme_model_I_293T_alt')",GIMME,GIMME,healthy,infected,HBE,293T,0.8596881959910914
"('Gimme_model_H_NHBE_alt', 'Gimme_model_I_A549_alt')",GIMME,GIMME,healthy,infected,HBE,A549,0.846839860411012
"('Gimme_model_H_NHBE_alt', 'Gimme_model_I_CALU_alt')",GIMME,GIMME,healthy,infected,HBE,Calu-3,0.8285276856340903
"('Gimme_model_H_NHBE_alt', 'Gimme_model_I_Lung_alt')",GIMME,GIMME,healthy,infected,HBE,Lung,0.8082330588980368
"('Gimme_model_H_NHBE_alt', 'Gimme_model_I_NHBE_alt')",GIMME,GIMME,healthy,infected,HBE,HBE,0.9624896949711459
"('Gimme_model_H_NHBE_alt', 'IMAT_model_H_293T_alt')",GIMME,iMAT,healthy,healthy,HBE,293T,0.3120468133825213
"('Gimme_model_H_NHBE_alt', 'IMAT_model_H_A549_alt')",GIMME,iMAT,healthy,healthy,HBE,A549,0.311859631147541
"('Gimme_model_H_NHBE_alt', 'IMAT_model_H_CALU_alt')",GIMME,iMAT,healthy,healthy,HBE,Calu-3,0.30371874603376064
"('Gimme_model_H_NHBE_alt', 'IMAT_model_H_Lung_alt')",GIMME,iMAT,healthy,healthy,HBE,Lung,0.32499676039911884
"('Gimme_model_H_NHBE_alt', 'IMAT_model_H_NHBE_alt')",GIMME,iMAT,healthy,healthy,HBE,HBE,0.36471529537271635
"('Gimme_model_H_NHBE_alt', 'iMAT_model_I_293T_alt')",GIMME,iMAT,healthy,infected,HBE,293T,0.27960236567258084
"('Gimme_model_H_NHBE_alt', 'iMAT_model_I_A549_alt')",GIMME,iMAT,healthy,infected,HBE,A549,0.31131349409953823
"('Gimme_model_H_NHBE_alt', 'iMAT_model_I_CALU_alt')",GIMME,iMAT,healthy,infected,HBE,Calu-3,0.2919428862825089
"('Gimme_model_H_NHBE_alt', 'iMAT_model_I_Lung_alt')",GIMME,iMAT,healthy,infected,HBE,Lung,0.31126160020065213
"('Gimme_model_H_NHBE_alt', 'IMAT_model_I_NHBE_alt')",GIMME,iMAT,healthy,infected,HBE,HBE,0.3554489741540101
"('Gimme_model_H_NHBE_alt', 'INIT_model_H_293T_alt')",GIMME,INIT,healthy,healthy,HBE,293T,0.2208413001912046
"('Gimme_model_H_NHBE_alt', 'INIT_model_H_A549_alt')",GIMME,INIT,healthy,healthy,HBE,A549,0.2780284623394655
"('Gimme_model_H_NHBE_alt', 'INIT_model_H_CALU_alt')",GIMME,INIT,healthy,healthy,HBE,Calu-3,0.2543238537434707
"('Gimme_model_H_NHBE_alt', 'INIT_model_H_Lung_alt')",GIMME,INIT,healthy,healthy,HBE,Lung,0.2480270574971815
"('Gimme_model_H_NHBE_alt', 'INIT_model_H_NHBE')",GIMME,INIT,healthy,healthy,HBE,HBE,0.2774856304268069
"('Gimme_model_H_NHBE_alt', 'INIT_model_I_293T_alt')",GIMME,INIT,healthy,infected,HBE,293T,0.2162430254184749
"('Gimme_model_H_NHBE_alt', 'INIT_model_I_A549_alt')",GIMME,INIT,healthy,infected,HBE,A549,0.27497973833507006
