pair,MEM1,MEM2,infection1,infection2,dataset1,dataset2,Jaccard
"('Gimme_model_I_Lung_alt', 'IMAT_model_H_293T_alt')",iMAT,GIMME,healthy,infected,293T,Lung,0.2856420626895854
"('Gimme_model_I_NHBE_alt', 'IMAT_model_H_293T_alt')",iMAT,GIMME,healthy,infected,293T,HBE,0.3021619547140847
"('IMAT_model_H_293T_alt', 'IMAT_model_H_A549_alt')",iMAT,iMAT,healthy,healthy,293T,A549,0.45164341451879875
"('IMAT_model_H_293T_alt', 'IMAT_model_H_CALU_alt')",iMAT,iMAT,healthy,healthy,293T,Calu-3,0.4629981024667932
"('IMAT_model_H_293T_alt', 'IMAT_model_H_Lung_alt')",iMAT,iMAT,healthy,healthy,293T,Lung,0.44944352356144923
"('IMAT_model_H_293T_alt', 'IMAT_model_H_NHBE_alt')",iMAT,iMAT,healthy,healthy,293T,HBE,0.547198384654215
"('IMAT_model_H_293T_alt', 'iMAT_model_I_293T_alt')",iMAT,iMAT,healthy,infected,293T,293T,0.6387462847878952
"('IMAT_model_H_293T_alt', 'iMAT_model_I_A549_alt')",iMAT,iMAT,healthy,infected,293T,A549,0.4579461520133429
"('IMAT_model_H_293T_alt', 'iMAT_model_I_CALU_alt')",iMAT,iMAT,healthy,infected,293T,Calu-3,0.44086021505376344
"('IMAT_model_H_293T_alt', 'iMAT_model_I_Lung_alt')",iMAT,iMAT,healthy,infected,293T,Lung,0.4977599622730488
"('IMAT_model_H_293T_alt', 'IMAT_model_I_NHBE_alt')",iMAT,iMAT,healthy,infected,293T,HBE,0.5144710578842315
"('IMAT_model_H_293T_alt', 'INIT_model_H_293T_alt')",iMAT,INIT,healthy,healthy,293T,293T,0.4210648686352011
"('IMAT_model_H_293T_alt', 'INIT_model_H_A549_alt')",iMAT,INIT,healthy,healthy,293T,A549,0.3500583430571762
"('IMAT_model_H_293T_alt', 'INIT_model_H_CALU_alt')",iMAT,INIT,healthy,healthy,293T,Calu-3,0.36999182338511855
"('IMAT_model_H_293T_alt', 'INIT_model_H_Lung_alt')",iMAT,INIT,healthy,healthy,293T,Lung,0.3324994314305208
"('IMAT_model_H_293T_alt', 'INIT_model_H_NHBE')",iMAT,INIT,healthy,healthy,293T,HBE,0.34563971992361553
"('IMAT_model_H_293T_alt', 'INIT_model_I_293T_alt')",iMAT,INIT,healthy,infected,293T,293T,0.41986062717770034
"('IMAT_model_H_293T_alt', 'INIT_model_I_A549_alt')",iMAT,INIT,healthy,infected,293T,A549,0.3577044025157233
"('IMAT_model_H_293T_alt', 'INIT_model_I_CALU_alt')",iMAT,INIT,healthy,infected,293T,Calu-3,0.35235378031383735
"('IMAT_model_H_293T_alt', 'INIT_model_I_Lung_alt')",iMAT,INIT,healthy,infected,293T,Lung,0.34544253632760896
"('IMAT_model_H_293T_alt', 'INIT_model_I_NHBE')",iMAT,INIT,healthy,infected,293T,HBE,0.34777070063694265
"('IMAT_model_H_293T_alt', 'tINIT_model_H_293T_alt')",iMAT,tINIT,healthy,healthy,293T,293T,0.4330796777081468
"('IMAT_model_H_293T_alt', 'tINIT_model_H_A549_alt')",iMAT,tINIT,healthy,healthy,293T,A549,0.36674216685541716
"('IMAT_model_H_293T_alt', 'tINIT_model_H_CALU_alt')",iMAT,tINIT,healthy,healthy,293T,Calu-3,0.386762360446571
"('IMAT_model_H_293T_alt', 'tINIT_model_H_Lung_alt')",iMAT,tINIT,healthy,healthy,293T,Lung,0.3686051595977263
"('IMAT_model_H_293T_alt', 'tINIT_model_H_NHBE')",iMAT,tINIT,healthy,healthy,293T,HBE,0.3690427698574338
"('IMAT_model_H_293T_alt', 'tINIT_model_I_293T_alt')",iMAT,tINIT,healthy,infected,293T,293T,0.41594202898550725
"('IMAT_model_H_293T_alt', 'tINIT_model_I_A549_alt')",iMAT,tINIT,healthy,infected,293T,A549,0.3611807833301177
"('IMAT_model_H_293T_alt', 'tINIT_model_I_CALU_alt')",iMAT,tINIT,healthy,infected,293T,Calu-3,0.36478365384615385
"('IMAT_model_H_293T_alt', 'tINIT_model_I_Lung_alt')",iMAT,tINIT,healthy,infected,293T,Lung,0.35450074834295486
"('IMAT_model_H_293T_alt', 'tINIT_model_I_NHBE')",iMAT,tINIT,healthy,infected,293T,HBE,0.35261309646767197
"('Gimme_model_H_293T_alt', 'IMAT_model_H_A549_alt')",iMAT,GIMME,healthy,healthy,A549,293T,0.29160848038593373
"('Gimme_model_H_A549_alt', 'IMAT_model_H_A549_alt')",iMAT,GIMME,healthy,healthy,A549,A549,0.37072649572649574
"('Gimme_model_H_CALU_alt', 'IMAT_model_H_A549_alt')",iMAT,GIMME,healthy,healthy,A549,Calu-3,0.3415653991898602
"('Gimme_model_H_Lung_alt', 'IMAT_model_H_A549_alt')",iMAT,GIMME,healthy,healthy,A549,Lung,0.2856963455983926
"('Gimme_model_H_NHBE_alt', 'IMAT_model_H_A549_alt')",iMAT,GIMME,healthy,healthy,A549,HBE,0.311859631147541
"('Gimme_model_I_293T_alt', 'IMAT_model_H_A549_alt')",iMAT,GIMME,healthy,infected,A549,293T,0.29373789541639767
"('Gimme_model_I_A549_alt', 'IMAT_model_H_A549_alt')",iMAT,GIMME,healthy,infected,A549,A549,0.36435990826925674
"('Gimme_model_I_CALU_alt', 'IMAT_model_H_A549_alt')",iMAT,GIMME,healthy,infected,A549,Calu-3,0.30636655948553054
"('Gimme_model_I_Lung_alt', 'IMAT_model_H_A549_alt')",iMAT,GIMME,healthy,infected,A549,Lung,0.26610679368262724
"('Gimme_model_I_NHBE_alt', 'IMAT_model_H_A549_alt')",iMAT,GIMME,healthy,infected,A549,HBE,0.3079710144927536
"('IMAT_model_H_293T_alt', 'IMAT_model_H_A549_alt')",iMAT,iMAT,healthy,healthy,A549,293T,0.45164341451879875
"('IMAT_model_H_A549_alt', 'IMAT_model_H_CALU_alt')",iMAT,iMAT,healthy,healthy,A549,Calu-3,0.6263003467591358
"('IMAT_model_H_A549_alt', 'IMAT_model_H_Lung_alt')",iMAT,iMAT,healthy,healthy,A549,Lung,0.5227787566070979
"('IMAT_model_H_A549_alt', 'IMAT_model_H_NHBE_alt')",iMAT,iMAT,healthy,healthy,A549,HBE,0.5986807387862797
"('IMAT_model_H_A549_alt', 'iMAT_model_I_293T_alt')",iMAT,iMAT,healthy,infected,A549,293T,0.4829292429490351
"('IMAT_model_H_A549_alt', 'iMAT_model_I_A549_alt')",iMAT,iMAT,healthy,infected,A549,A549,0.8518064911206369
"('IMAT_model_H_A549_alt', 'iMAT_model_I_CALU_alt')",iMAT,iMAT,healthy,infected,A549,Calu-3,0.5461857810067462
"('IMAT_model_H_A549_alt', 'iMAT_model_I_Lung_alt')",iMAT,iMAT,healthy,infected,A549,Lung,0.45427182218106044
"('IMAT_model_H_A549_alt', 'IMAT_model_I_NHBE_alt')",iMAT,iMAT,healthy,infected,A549,HBE,0.5967527282406175
"('IMAT_model_H_A549_alt', 'INIT_model_H_293T_alt')",iMAT,INIT,healthy,healthy,A549,293T,0.35145413870246084
"('IMAT_model_H_A549_alt', 'INIT_model_H_A549_alt')",iMAT,INIT,healthy,healthy,A549,A549,0.400815494393476
"('IMAT_model_H_A549_alt', 'INIT_model_H_CALU_alt')",iMAT,INIT,healthy,healthy,A549,Calu-3,0.36076339010876257
"('IMAT_model_H_A549_alt', 'INIT_model_H_Lung_alt')",iMAT,INIT,healthy,healthy,A549,Lung,0.31098527746319365
"('IMAT_model_H_A549_alt', 'INIT_model_H_NHBE')",iMAT,INIT,healthy,healthy,A549,HBE,0.37854473510661685
"('IMAT_model_H_A549_alt', 'INIT_model_I_293T_alt')",iMAT,INIT,healthy,infected,A549,293T,0.3275212064090481
"('IMAT_model_H_A549_alt', 'INIT_model_I_A549_alt')",iMAT,INIT,healthy,infected,A549,A549,0.4024615384615385
"('IMAT_model_H_A549_alt', 'INIT_model_I_CALU_alt')",iMAT,INIT,healthy,infected,A549,Calu-3,0.35221421215242016
"('IMAT_model_H_A549_alt', 'INIT_model_I_Lung_alt')",iMAT,INIT,healthy,infected,A549,Lung,0.2989247311827957
"('IMAT_model_H_A549_alt', 'INIT_model_I_NHBE')",iMAT,INIT,healthy,infected,A549,HBE,0.3777436347673398
"('IMAT_model_H_A549_alt', 'tINIT_model_H_293T_alt')",iMAT,tINIT,healthy,healthy,A549,293T,0.3711563447379818
"('IMAT_model_H_A549_alt', 'tINIT_model_H_A549_alt')",iMAT,tINIT,healthy,healthy,A549,A549,0.4091981132075472
"('IMAT_model_H_A549_alt', 'tINIT_model_H_CALU_alt')",iMAT,tINIT,healthy,healthy,A549,Calu-3,0.3750748951467945
"('IMAT_model_H_A549_alt', 'tINIT_model_H_Lung_alt')",iMAT,tINIT,healthy,healthy,A549,Lung,0.3399004113444469
"('IMAT_model_H_A549_alt', 'tINIT_model_H_NHBE')",iMAT,tINIT,healthy,healthy,A549,HBE,0.39287958115183247
"('IMAT_model_H_A549_alt', 'tINIT_model_I_293T_alt')",iMAT,tINIT,healthy,infected,A549,293T,0.3276020174232004
"('IMAT_model_H_A549_alt', 'tINIT_model_I_A549_alt')",iMAT,tINIT,healthy,infected,A549,A549,0.4004411469821536
"('IMAT_model_H_A549_alt', 'tINIT_model_I_CALU_alt')",iMAT,tINIT,healthy,infected,A549,Calu-3,0.3609204683084376
"('IMAT_model_H_A549_alt', 'tINIT_model_I_Lung_alt')",iMAT,tINIT,healthy,infected,A549,Lung,0.2971629737005591
"('IMAT_model_H_A549_alt', 'tINIT_model_I_NHBE')",iMAT,tINIT,healthy,infected,A549,HBE,0.37515923566878984
"('Gimme_model_H_293T_alt', 'IMAT_model_H_CALU_alt')",iMAT,GIMME,healthy,healthy,Calu-3,293T,0.2907020872865275
"('Gimme_model_H_A549_alt', 'IMAT_model_H_CALU_alt')",iMAT,GIMME,healthy,healthy,Calu-3,A549,0.32675947409126066
"('Gimme_model_H_CALU_alt', 'IMAT_model_H_CALU_alt')",iMAT,GIMME,healthy,healthy,Calu-3,Calu-3,0.3615445649299127
"('Gimme_model_H_Lung_alt', 'IMAT_model_H_CALU_alt')",iMAT,GIMME,healthy,healthy,Calu-3,Lung,0.2735053336641032
"('Gimme_model_H_NHBE_alt', 'IMAT_model_H_CALU_alt')",iMAT,GIMME,healthy,healthy,Calu-3,HBE,0.30371874603376064
"('Gimme_model_I_293T_alt', 'IMAT_model_H_CALU_alt')",iMAT,GIMME,healthy,infected,Calu-3,293T,0.28949056845887333
"('Gimme_model_I_A549_alt', 'IMAT_model_H_CALU_alt')",iMAT,GIMME,healthy,infected,Calu-3,A549,0.3213913496612819
"('Gimme_model_I_CALU_alt', 'IMAT_model_H_CALU_alt')",iMAT,GIMME,healthy,infected,Calu-3,Calu-3,0.313305827746261
"('Gimme_model_I_Lung_alt', 'IMAT_model_H_CALU_alt')",iMAT,GIMME,healthy,infected,Calu-3,Lung,0.25108064715326667
"('Gimme_model_I_NHBE_alt', 'IMAT_model_H_CALU_alt')",iMAT,GIMME,healthy,infected,Calu-3,HBE,0.2987828315182575
"('IMAT_model_H_293T_alt', 'IMAT_model_H_CALU_alt')",iMAT,iMAT,healthy,healthy,Calu-3,293T,0.4629981024667932
"('IMAT_model_H_A549_alt', 'IMAT_model_H_CALU_alt')",iMAT,iMAT,healthy,healthy,Calu-3,A549,0.6263003467591358
"('IMAT_model_H_CALU_alt', 'IMAT_model_H_Lung_alt')",iMAT,iMAT,healthy,healthy,Calu-3,Lung,0.4852186660151478
"('IMAT_model_H_CALU_alt', 'IMAT_model_H_NHBE_alt')",iMAT,iMAT,healthy,healthy,Calu-3,HBE,0.5870698644421272
"('IMAT_model_H_CALU_alt', 'iMAT_model_I_293T_alt')",iMAT,iMAT,healthy,infected,Calu-3,293T,0.49121069571676157
"('IMAT_model_H_CALU_alt', 'iMAT_model_I_A549_alt')",iMAT,iMAT,healthy,infected,Calu-3,A549,0.6218307979717107
"('IMAT_model_H_CALU_alt', 'iMAT_model_I_CALU_alt')",iMAT,iMAT,healthy,infected,Calu-3,Calu-3,0.6079484425349087
"('IMAT_model_H_CALU_alt', 'iMAT_model_I_Lung_alt')",iMAT,iMAT,healthy,infected,Calu-3,Lung,0.4266335066696812
"('IMAT_model_H_CALU_alt', 'IMAT_model_I_NHBE_alt')",iMAT,iMAT,healthy,infected,Calu-3,HBE,0.5930232558139535
"('IMAT_model_H_CALU_alt', 'INIT_model_H_293T_alt')",iMAT,INIT,healthy,healthy,Calu-3,293T,0.3833181403828623
"('IMAT_model_H_CALU_alt', 'INIT_model_H_A549_alt')",iMAT,INIT,healthy,healthy,Calu-3,A549,0.39902676399026765
"('IMAT_model_H_CALU_alt', 'INIT_model_H_CALU_alt')",iMAT,INIT,healthy,healthy,Calu-3,Calu-3,0.4185303514376997
"('IMAT_model_H_CALU_alt', 'INIT_model_H_Lung_alt')",iMAT,INIT,healthy,healthy,Calu-3,Lung,0.3060170633138752
"('IMAT_model_H_CALU_alt', 'INIT_model_H_NHBE')",iMAT,INIT,healthy,healthy,Calu-3,HBE,0.4021811707099933
"('IMAT_model_H_CALU_alt', 'INIT_model_I_293T_alt')",iMAT,INIT,healthy,infected,Calu-3,293T,0.3387706855791962
"('IMAT_model_H_CALU_alt', 'INIT_model_I_A549_alt')",iMAT,INIT,healthy,infected,Calu-3,A549,0.4017966516945692
"('IMAT_model_H_CALU_alt', 'INIT_model_I_CALU_alt')",iMAT,INIT,healthy,infected,Calu-3,Calu-3,0.3961465170442515
"('IMAT_model_H_CALU_alt', 'INIT_model_I_Lung_alt')",iMAT,INIT,healthy,infected,Calu-3,Lung,0.28173178458289333
"('IMAT_model_H_CALU_alt', 'INIT_model_I_NHBE')",iMAT,INIT,healthy,infected,Calu-3,HBE,0.39884649511978704
"('IMAT_model_H_CALU_alt', 'tINIT_model_H_293T_alt')",iMAT,tINIT,healthy,healthy,Calu-3,293T,0.3992520897492301
"('IMAT_model_H_CALU_alt', 'tINIT_model_H_A549_alt')",iMAT,tINIT,healthy,healthy,Calu-3,A549,0.4049570647931304
"('IMAT_model_H_CALU_alt', 'tINIT_model_H_CALU_alt')",iMAT,tINIT,healthy,healthy,Calu-3,Calu-3,0.42969396195202647
"('IMAT_model_H_CALU_alt', 'tINIT_model_H_Lung_alt')",iMAT,tINIT,healthy,healthy,Calu-3,Lung,0.33950883239982765
"('IMAT_model_H_CALU_alt', 'tINIT_model_H_NHBE')",iMAT,tINIT,healthy,healthy,Calu-3,HBE,0.41615433538265845
"('IMAT_model_H_CALU_alt', 'tINIT_model_I_293T_alt')",iMAT,tINIT,healthy,infected,Calu-3,293T,0.3370089593383873
"('IMAT_model_H_CALU_alt', 'tINIT_model_I_A549_alt')",iMAT,tINIT,healthy,infected,Calu-3,A549,0.40035942492012777
"('IMAT_model_H_CALU_alt', 'tINIT_model_I_CALU_alt')",iMAT,tINIT,healthy,infected,Calu-3,Calu-3,0.4018633540372671
"('IMAT_model_H_CALU_alt', 'tINIT_model_I_Lung_alt')",iMAT,tINIT,healthy,infected,Calu-3,Lung,0.2834998980216194
"('IMAT_model_H_CALU_alt', 'tINIT_model_I_NHBE')",iMAT,tINIT,healthy,infected,Calu-3,HBE,0.39434204886412344
"('Gimme_model_H_293T_alt', 'IMAT_model_H_Lung_alt')",iMAT,GIMME,healthy,healthy,Lung,293T,0.3152033152033152
"('Gimme_model_H_A549_alt', 'IMAT_model_H_Lung_alt')",iMAT,GIMME,healthy,healthy,Lung,A549,0.3038941206413846
"('Gimme_model_H_CALU_alt', 'IMAT_model_H_Lung_alt')",iMAT,GIMME,healthy,healthy,Lung,Calu-3,0.30560509554140125
"('Gimme_model_H_Lung_alt', 'IMAT_model_H_Lung_alt')",iMAT,GIMME,healthy,healthy,Lung,Lung,0.36942248425566127
"('Gimme_model_H_NHBE_alt', 'IMAT_model_H_Lung_alt')",iMAT,GIMME,healthy,healthy,Lung,HBE,0.32499676039911884
"('Gimme_model_I_293T_alt', 'IMAT_model_H_Lung_alt')",iMAT,GIMME,healthy,infected,Lung,293T,0.30813497253465866
"('Gimme_model_I_A549_alt', 'IMAT_model_H_Lung_alt')",iMAT,GIMME,healthy,infected,Lung,A549,0.29835390946502055
"('Gimme_model_I_CALU_alt', 'IMAT_model_H_Lung_alt')",iMAT,GIMME,healthy,infected,Lung,Calu-3,0.29522227899846704
"('Gimme_model_I_Lung_alt', 'IMAT_model_H_Lung_alt')",iMAT,GIMME,healthy,infected,Lung,Lung,0.2966820987654321
"('Gimme_model_I_NHBE_alt', 'IMAT_model_H_Lung_alt')",iMAT,GIMME,healthy,infected,Lung,HBE,0.31482929371905133
"('IMAT_model_H_293T_alt', 'IMAT_model_H_Lung_alt')",iMAT,iMAT,healthy,healthy,Lung,293T,0.44944352356144923
"('IMAT_model_H_A549_alt', 'IMAT_model_H_Lung_alt')",iMAT,iMAT,healthy,healthy,Lung,A549,0.5227787566070979
"('IMAT_model_H_CALU_alt', 'IMAT_model_H_Lung_alt')",iMAT,iMAT,healthy,healthy,Lung,Calu-3,0.4852186660151478
"('IMAT_model_H_Lung_alt', 'IMAT_model_H_NHBE_alt')",iMAT,iMAT,healthy,healthy,Lung,HBE,0.5872306883867577
"('IMAT_model_H_Lung_alt', 'iMAT_model_I_293T_alt')",iMAT,iMAT,healthy,infected,Lung,293T,0.45048543689320386
"('IMAT_model_H_Lung_alt', 'iMAT_model_I_A549_alt')",iMAT,iMAT,healthy,infected,Lung,A549,0.5146948003014318
"('IMAT_model_H_Lung_alt', 'iMAT_model_I_CALU_alt')",iMAT,iMAT,healthy,infected,Lung,Calu-3,0.5159479459045675
"('IMAT_model_H_Lung_alt', 'iMAT_model_I_Lung_alt')",iMAT,iMAT,healthy,infected,Lung,Lung,0.4746880150694608
"('IMAT_model_H_Lung_alt', 'IMAT_model_I_NHBE_alt')",iMAT,iMAT,healthy,infected,Lung,HBE,0.556336195680458
"('IMAT_model_H_Lung_alt', 'INIT_model_H_293T_alt')",iMAT,INIT,healthy,healthy,Lung,293T,0.29082726103729106
"('IMAT_model_H_Lung_alt', 'INIT_model_H_A549_alt')",iMAT,INIT,healthy,healthy,Lung,A549,0.3133384438482177
"('IMAT_model_H_Lung_alt', 'INIT_model_H_CALU_alt')",iMAT,INIT,healthy,healthy,Lung,Calu-3,0.30588467614533965
"('IMAT_model_H_Lung_alt', 'INIT_model_H_Lung_alt')",iMAT,INIT,healthy,healthy,Lung,Lung,0.44756648268941296
"('IMAT_model_H_Lung_alt', 'INIT_model_H_NHBE')",iMAT,INIT,healthy,healthy,Lung,HBE,0.3295768658303211
"('IMAT_model_H_Lung_alt', 'INIT_model_I_293T_alt')",iMAT,INIT,healthy,infected,Lung,293T,0.30574285049988376
"('IMAT_model_H_Lung_alt', 'INIT_model_I_A549_alt')",iMAT,INIT,healthy,infected,Lung,A549,0.31412603584505683
"('IMAT_model_H_Lung_alt', 'INIT_model_I_CALU_alt')",iMAT,INIT,healthy,infected,Lung,Calu-3,0.3136035313001605
"('IMAT_model_H_Lung_alt', 'INIT_model_I_Lung_alt')",iMAT,INIT,healthy,infected,Lung,Lung,0.3514362657091562
"('IMAT_model_H_Lung_alt', 'INIT_model_I_NHBE')",iMAT,INIT,healthy,infected,Lung,HBE,0.3373931623931624
"('IMAT_model_H_Lung_alt', 'tINIT_model_H_293T_alt')",iMAT,tINIT,healthy,healthy,Lung,293T,0.3048150444306675
"('IMAT_model_H_Lung_alt', 'tINIT_model_H_A549_alt')",iMAT,tINIT,healthy,healthy,Lung,A549,0.3232192414431082
"('IMAT_model_H_Lung_alt', 'tINIT_model_H_CALU_alt')",iMAT,tINIT,healthy,healthy,Lung,Calu-3,0.3205769230769231
"('IMAT_model_H_Lung_alt', 'tINIT_model_H_Lung_alt')",iMAT,tINIT,healthy,healthy,Lung,Lung,0.4554245283018868
"('IMAT_model_H_Lung_alt', 'tINIT_model_H_NHBE')",iMAT,tINIT,healthy,healthy,Lung,HBE,0.3418976330163868
"('IMAT_model_H_Lung_alt', 'tINIT_model_I_293T_alt')",iMAT,tINIT,healthy,infected,Lung,293T,0.30345450440279975
"('IMAT_model_H_Lung_alt', 'tINIT_model_I_A549_alt')",iMAT,tINIT,healthy,infected,Lung,A549,0.31359607769187253
"('IMAT_model_H_Lung_alt', 'tINIT_model_I_CALU_alt')",iMAT,tINIT,healthy,infected,Lung,Calu-3,0.3202434714313764
"('IMAT_model_H_Lung_alt', 'tINIT_model_I_Lung_alt')",iMAT,tINIT,healthy,infected,Lung,Lung,0.3464108644104333
"('IMAT_model_H_Lung_alt', 'tINIT_model_I_NHBE')",iMAT,tINIT,healthy,infected,Lung,HBE,0.3325768516608211
"('Gimme_model_H_293T_alt', 'IMAT_model_H_NHBE_alt')",iMAT,GIMME,healthy,healthy,HBE,293T,0.3235677083333333
"('Gimme_model_H_A549_alt', 'IMAT_model_H_NHBE_alt')",iMAT,GIMME,healthy,healthy,HBE,A549,0.31390134529147984
"('Gimme_model_H_CALU_alt', 'IMAT_model_H_NHBE_alt')",iMAT,GIMME,healthy,healthy,HBE,Calu-3,0.3219072164948454
"('Gimme_model_H_Lung_alt', 'IMAT_model_H_NHBE_alt')",iMAT,GIMME,healthy,healthy,HBE,Lung,0.31040225467589033
"('Gimme_model_H_NHBE_alt', 'IMAT_model_H_NHBE_alt')",iMAT,GIMME,healthy,healthy,HBE,HBE,0.36471529537271635
"('Gimme_model_I_293T_alt', 'IMAT_model_H_NHBE_alt')",iMAT,GIMME,healthy,infected,HBE,293T,0.3193199789140749
"('Gimme_model_I_A549_alt', 'IMAT_model_H_NHBE_alt')",iMAT,GIMME,healthy,infected,HBE,A549,0.309277014770666
"('Gimme_model_I_CALU_alt', 'IMAT_model_H_NHBE_alt')",iMAT,GIMME,healthy,infected,HBE,Calu-3,0.2904374364191251
"('Gimme_model_I_Lung_alt', 'IMAT_model_H_NHBE_alt')",iMAT,GIMME,healthy,infected,HBE,Lung,0.27633742253699256
"('Gimme_model_I_NHBE_alt', 'IMAT_model_H_NHBE_alt')",iMAT,GIMME,healthy,infected,HBE,HBE,0.35484303729541183
"('IMAT_model_H_293T_alt', 'IMAT_model_H_NHBE_alt')",iMAT,iMAT,healthy,healthy,HBE,293T,0.547198384654215
"('IMAT_model_H_A549_alt', 'IMAT_model_H_NHBE_alt')",iMAT,iMAT,healthy,healthy,HBE,A549,0.5986807387862797
"('IMAT_model_H_CALU_alt', 'IMAT_model_H_NHBE_alt')",iMAT,iMAT,healthy,healthy,HBE,Calu-3,0.5870698644421272
"('IMAT_model_H_Lung_alt', 'IMAT_model_H_NHBE_alt')",iMAT,iMAT,healthy,healthy,HBE,Lung,0.5872306883867577
"('IMAT_model_H_NHBE_alt', 'iMAT_model_I_293T_alt')",iMAT,iMAT,healthy,infected,HBE,293T,0.5314738996929376
"('IMAT_model_H_NHBE_alt', 'iMAT_model_I_A549_alt')",iMAT,iMAT,healthy,infected,HBE,A549,0.5929833816934845
"('IMAT_model_H_NHBE_alt', 'iMAT_model_I_CALU_alt')",iMAT,iMAT,healthy,infected,HBE,Calu-3,0.49987396017141417
"('IMAT_model_H_NHBE_alt', 'iMAT_model_I_Lung_alt')",iMAT,iMAT,healthy,infected,HBE,Lung,0.46610565684899485
"('IMAT_model_H_NHBE_alt', 'IMAT_model_I_NHBE_alt')",iMAT,iMAT,healthy,infected,HBE,HBE,0.8135028761731758
"('IMAT_model_H_NHBE_alt', 'INIT_model_H_293T_alt')",iMAT,INIT,healthy,healthy,HBE,293T,0.34313070585615674
"('IMAT_model_H_NHBE_alt', 'INIT_model_H_A549_alt')",iMAT,INIT,healthy,healthy,HBE,A549,0.34999016328939603
"('IMAT_model_H_NHBE_alt', 'INIT_model_H_CALU_alt')",iMAT,INIT,healthy,healthy,HBE,Calu-3,0.34950071326676174
"('IMAT_model_H_NHBE_alt', 'INIT_model_H_Lung_alt')",iMAT,INIT,healthy,healthy,HBE,Lung,0.3594448365090567
"('IMAT_model_H_NHBE_alt', 'INIT_model_H_NHBE')",iMAT,INIT,healthy,healthy,HBE,HBE,0.40529622980251345
"('IMAT_model_H_NHBE_alt', 'INIT_model_I_293T_alt')",iMAT,INIT,healthy,infected,HBE,293T,0.35379061371841153
"('IMAT_model_H_NHBE_alt', 'INIT_model_I_A549_alt')",iMAT,INIT,healthy,infected,HBE,A549,0.3504746835443038
"('IMAT_model_H_NHBE_alt', 'INIT_model_I_CALU_alt')",iMAT,INIT,healthy,infected,HBE,Calu-3,0.34897119341563787
"('IMAT_model_H_NHBE_alt', 'INIT_model_I_Lung_alt')",iMAT,INIT,healthy,infected,HBE,Lung,0.3275368699097513
"('IMAT_model_H_NHBE_alt', 'INIT_model_I_NHBE')",iMAT,INIT,healthy,infected,HBE,HBE,0.4063271258694189
"('IMAT_model_H_NHBE_alt', 'tINIT_model_H_293T_alt')",iMAT,tINIT,healthy,healthy,HBE,293T,0.3559939952820073
"('IMAT_model_H_NHBE_alt', 'tINIT_model_H_A549_alt')",iMAT,tINIT,healthy,healthy,HBE,A549,0.3593394077448747
"('IMAT_model_H_NHBE_alt', 'tINIT_model_H_CALU_alt')",iMAT,tINIT,healthy,healthy,HBE,Calu-3,0.3653693407466243
"('IMAT_model_H_NHBE_alt', 'tINIT_model_H_Lung_alt')",iMAT,tINIT,healthy,healthy,HBE,Lung,0.39220545167830595
"('IMAT_model_H_NHBE_alt', 'tINIT_model_H_NHBE')",iMAT,tINIT,healthy,healthy,HBE,HBE,0.4174135723431498
"('IMAT_model_H_NHBE_alt', 'tINIT_model_I_293T_alt')",iMAT,tINIT,healthy,infected,HBE,293T,0.3518821603927987
"('IMAT_model_H_NHBE_alt', 'tINIT_model_I_A549_alt')",iMAT,tINIT,healthy,infected,HBE,A549,0.3480865867800541
"('IMAT_model_H_NHBE_alt', 'tINIT_model_I_CALU_alt')",iMAT,tINIT,healthy,infected,HBE,Calu-3,0.35581957309706
"('IMAT_model_H_NHBE_alt', 'tINIT_model_I_Lung_alt')",iMAT,tINIT,healthy,infected,HBE,Lung,0.32718014003819224
"('IMAT_model_H_NHBE_alt', 'tINIT_model_I_NHBE')",iMAT,tINIT,healthy,infected,HBE,HBE,0.3984864864864865
"('Gimme_model_H_293T_alt', 'iMAT_model_I_293T_alt')",iMAT,GIMME,infected,healthy,293T,293T,0.30676672273256567
"('Gimme_model_H_A549_alt', 'iMAT_model_I_293T_alt')",iMAT,GIMME,infected,healthy,293T,A549,0.27263644311227675
"('Gimme_model_H_CALU_alt', 'iMAT_model_I_293T_alt')",iMAT,GIMME,infected,healthy,293T,Calu-3,0.28359148721823446
"('Gimme_model_H_Lung_alt', 'iMAT_model_I_293T_alt')",iMAT,GIMME,infected,healthy,293T,Lung,0.26104218362282877
"('Gimme_model_H_NHBE_alt', 'iMAT_model_I_293T_alt')",iMAT,GIMME,infected,healthy,293T,HBE,0.27960236567258084
"('Gimme_model_I_293T_alt', 'iMAT_model_I_293T_alt')",iMAT,GIMME,infected,infected,293T,293T,0.3180492976411344
"('Gimme_model_I_A549_alt', 'iMAT_model_I_293T_alt')",iMAT,GIMME,infected,infected,293T,A549,0.266078184110971
"('Gimme_model_I_CALU_alt', 'iMAT_model_I_293T_alt')",iMAT,GIMME,infected,infected,293T,Calu-3,0.24835953943295777
"('Gimme_model_I_Lung_alt', 'iMAT_model_I_293T_alt')",iMAT,GIMME,infected,infected,293T,Lung,0.22849791717716247
"('Gimme_model_I_NHBE_alt', 'iMAT_model_I_293T_alt')",iMAT,GIMME,infected,infected,293T,HBE,0.269644438820701
"('IMAT_model_H_293T_alt', 'iMAT_model_I_293T_alt')",iMAT,iMAT,infected,healthy,293T,293T,0.6387462847878952
"('IMAT_model_H_A549_alt', 'iMAT_model_I_293T_alt')",iMAT,iMAT,infected,healthy,293T,A549,0.4829292429490351
