reaction;reactions_up_MW;reactions_down_MW;reactions_up_KS;reactions_down_KS;p_ks;p_mw
HMR_4147;0;1;0;1;1.4040138438715365e-21;6.933168465015557e-07
HMR_4149;1;0;1;0;7.1208255572565045e-40;7.197877161189515e-27
HMR_4156;0;1;0;1;5.795924150993109e-21;5.823021448535149e-06
HMR_4158;1;0;1;0;7.1208255572565045e-40;4.0395419675436805e-28
HMR_4160;1;0;1;0;1.4040138438715365e-21;6.933168465015557e-07
HMR_4163;0;1;0;1;7.1208255572565045e-40;1.837916499963019e-30
HMR_4165;1;0;1;0;4.506334667547977e-45;1.260249518459203e-38
HMR_4168;0;1;0;1;4.506334667547977e-45;1.260249518459203e-38
HMR_4169;0;1;0;1;4.506334667547977e-45;1.260249518459203e-38
HMR_4171;1;0;1;0;4.506334667547977e-45;3.6391829212113e-34
HMR_4172;0;0;0;0;4.162023945261814e-10;2.3401049908430057e-09
HMR_4175;0;0;0;0;4.162023945261814e-10;2.4631001698316816e-11
HMR_4177;0;0;0;0;2.5001565599383294e-06;0.0002362910956891827
HMR_4179;0;0;0;0;3.865879990814062e-31;2.097604311103048e-25
HMR_4180;0;0;0;0;1.4040138438715365e-21;2.7125209766663696e-21
HMR_4193;0;0;0;0;4.527378432065845e-05;2.8415123319498613e-05
HMR_4200;1;0;1;0;4.506334667547977e-45;3.6391829212113e-34
HMR_4201;1;0;1;0;4.506334667547977e-45;3.6391829212113e-34
HMR_4202;0;1;0;1;4.506334667547977e-45;1.260249518459203e-38
HMR_4204;0;1;0;1;4.506334667547977e-45;1.260249518459203e-38
HMR_4208;1;0;1;0;4.506334667547977e-45;1.260249518459203e-38
HMR_4210;1;0;1;0;1.40748284887071e-41;2.546283319179762e-30
HMR_4211;0;1;0;1;4.506334667547977e-45;1.260249518459203e-38
HMR_4212;0;1;0;1;4.506334667547977e-45;1.260249518459203e-38
HMR_4252;0;1;0;1;4.506334667547977e-45;3.6391829212113e-34
HMR_4254;0;1;0;1;4.506334667547977e-45;1.260249518459203e-38
HMR_4262;1;0;1;0;4.506334667547977e-45;3.6391829212113e-34
HMR_4264;0;1;0;1;1.84502179591684e-25;1.0359800035935174e-09
HMR_4269;0;1;0;1;8.78651996965806e-15;2.0817588723645722e-12
HMR_4270;0;1;0;1;3.943575586312838e-24;1.9422774938429995e-08
HMR_4280;0;1;0;1;9.271446031134091e-20;8.962865427602415e-05
HMR_4281;0;1;0;1;4.506334667547977e-45;1.260249518459203e-38
HMR_4287;0;1;0;1;4.506334667547977e-45;3.6391829212113e-34
HMR_4291;1;0;1;0;4.506334667547977e-45;3.6391829212113e-34
HMR_4297;1;0;1;0;4.506334667547977e-45;3.6391829212113e-34
HMR_4299;0;1;0;1;4.506334667547977e-45;1.260249518459203e-38
HMR_4300;1;0;1;0;4.506334667547977e-45;3.6391829212113e-34
HMR_4301;1;0;1;0;4.506334667547977e-45;3.6391829212113e-34
HMR_4306;1;0;1;0;4.506334667547977e-45;3.6391829212113e-34
HMR_4308;1;0;1;0;4.506334667547977e-45;1.260249518459203e-38
HMR_4312;1;0;1;0;4.506334667547977e-45;3.6391829212113e-34
HMR_4316;1;0;1;0;4.506334667547977e-45;3.6391829212113e-34
HMR_4319;1;0;1;0;4.506334667547977e-45;3.6391829212113e-34
HMR_4324;1;0;1;0;4.506334667547977e-45;3.6391829212113e-34
HMR_4326;1;0;1;0;4.506334667547977e-45;3.6391829212113e-34
HMR_4328;1;0;1;0;4.506334667547977e-45;3.6391829212113e-34
HMR_4329;1;0;1;0;4.506334667547977e-45;3.6391829212113e-34
HMR_4332;0;1;0;1;4.506334667547977e-45;1.260249518459203e-38
HMR_4336;1;0;1;0;4.506334667547977e-45;3.6391829212113e-34
HMR_4340;1;0;1;0;4.506334667547977e-45;3.6391829212113e-34
HMR_4348;0;1;0;1;4.506334667547977e-45;1.260249518459203e-38
HMR_4352;1;0;1;0;4.506334667547977e-45;3.6391829212113e-34
HMR_4354;1;0;1;0;4.506334667547977e-45;3.6391829212113e-34
HMR_4355;1;0;1;0;4.506334667547977e-45;3.6391829212113e-34
HMR_4358;1;0;1;0;4.506334667547977e-45;3.6391829212113e-34
HMR_4363;1;0;1;0;4.506334667547977e-45;3.6391829212113e-34
HMR_4365;1;0;1;0;4.506334667547977e-45;3.6391829212113e-34
HMR_4368;1;0;1;0;4.506334667547977e-45;3.6391829212113e-34
HMR_4371;1;0;1;0;4.506334667547977e-45;3.6391829212113e-34
HMR_4372;1;0;1;0;4.506334667547977e-45;3.6391829212113e-34
HMR_4373;0;0;0;0;1.3698935853792915e-18;4.6814242209564994e-20
HMR_4375;0;0;0;0;3.867503853634086e-26;2.6263017698068302e-17
HMR_4377;1;0;1;0;4.506334667547977e-45;3.6391829212113e-34
HMR_4379;0;0;0;0;0.00017032261031250774;0.0003738520259028818
HMR_4381;1;0;1;0;3.410727570511121e-34;2.2649641318092074e-20
HMR_4388;1;0;1;0;4.506334667547977e-45;3.6391829212113e-34
HMR_4390;0;1;0;1;1.1968573965629783e-32;1.340838578420077e-17
HMR_4391;1;0;1;0;4.506334667547977e-45;3.6391829212113e-34
HMR_4394;1;0;1;0;1.40748284887071e-41;3.28730719546073e-29
HMR_4396;1;0;1;0;3.867503853634086e-26;2.1958387335296698e-10
HMR_4398;0;1;0;1;4.506334667547977e-45;1.260249518459203e-38
